ite_id;ite_name
1213                                              ;PEQUEÑOS EQUIPOS INFORMATICA Y TELECOM                                                              
1800                                              ;ACERO INOXIDABLE                                                                                    
9013                                              ;Dto. Material No Cotizable                                                                          
1105                                              ;TUBOS                                                                                               
9004                                              ;RESIDUO INDUSTRIAL ASIMILABLE A URBANO                                                              
1401                                              ;ALUMINIO CABLE                                                                                      
1315                                              ;COBRE GOMA ANTENA                                                                                   
1403                                              ;ALUMINIO CARTER                                                                                     
1008                                              ;VIRUTA DE HIERRO                                                                                    
1016                                              ;CHATARRA COCHES                                                                                     
1904                                              ;HIERRO CON COBRE                                                                                    
1402                                              ;ALUMINIO RECORTE                                                                                    
1023                                              ;CHATARRA CARRILES                                                                                   
1019                                              ;CHATARRA O.A.                                                                                       
1025                                              ;POLVO DE ACERO INOXIDABLE                                                                           
1001                                              ;CHATARRA LARGA                                                                                      
1208                                              ;PLACA ORDENADOR MODERNA                                                                             
1011                                              ;ALAMBRE NEUMÁTICO                                                                                   
1417                                              ;ALUMINIO BAJO GOMA                                                                                  
1219                                              ; NO UTILIZAR-GRANDES APARATOS. AIRES ACONDICIONADOS                                                 
1805                                              ;ACERO INOXIDABLE 301                                                                                
1206                                              ;PEQUEÑOS APARATOS                                                                                   
1806                                              ;ACERO INOXIDABLE 316                                                                                
1301                                              ;COBRE CHAPA                                                                                         
1705                                              ;LINGOTE DE CINC                                                                                     
1901                                              ;MAQUINARIA Y VARIOS                                                                                 
9014                                              ;Dto. Envases                                                                                        
1017                                              ;PAQUETE ESTAÑADO                                                                                    
1420                                              ;ALUMINIO GOMA ROJO                                                                                  
1505                                              ;RADIADORES                                                                                          
1415P                                             ;POLVO Y PARTICULAS DE METALES NO FÉRREOS.                                                           
1801                                              ;INOXIDABLE FERRITICO                                                                                
1006                                              ;CHAPAJO                                                                                             
1212                                              ;DISCO DURO                                                                                          
1204                                              ;SECADORA                                                                                            
1217                                              ;PEQUEÑOS EQUIPOS INFORMATICA Y TELECOM PELIGROSOS                                                   
1109                                              ;TRAVIESAS                                                                                           
1503                                              ;BRONCE                                                                                              
1424                                              ;RADIADOR ALUMINIO                                                                                   
1305B                                             ;COBRE HILO                                                                                          
1911                                              ;MOTORES DE ARRANQUE                                                                                 
9012                                              ;SERVICIOS AL 21%                                                                                    
9010                                              ;GASTOS FINANCIEROS                                                                                  
1018                                              ;CHATARRA RENFE                                                                                      
1101                                              ;VIGAS                                                                                               
1009                                              ;OXICORTE NUEVO-R                                                                                    
1508                                              ;PLACA ORDENADOR MODERNA                                                                             
